ID_Cliente;Nombre_cliente;CEF;CLUB 200;CLUB CAMPESTRE;CSDE;CUR;F;FUERA DE SEDE;SEDE 95;VIRTUAL;ASAMBLEAS;CAPACITACIONES;CONGRESOS;CONVENCIONES;CULTURALES;FERIAS;FIESTAS Y CELEBRACIONES;LANZAMIENTOS;OTRO;RECREATIVOS;REUNIONES;SEMINARIOS;SOCIALES;Total Eventos
9193726;Tipo_PN_34489;0;1344000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1344000;0;1344000
9194835;Tipo_P_1148;0;0;0;0;0;0;1094500;0;0;0;0;0;0;0;0;1094500;0;0;0;0;0;0;1094500
9195037;Tipo_P_2099;0;0;0;0;0;0;0;504874;0;0;0;0;0;0;0;0;0;0;0;504874;0;0;504874
9195436;Tipo_P_64426;0;0;0;245376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245376;0;0;245376
9195640;Tipo_P_15;17822178;40854733;4926914;107529734;0;600000;4086080;11928715;0;0;79365369;0;40994833;0;0;0;0;0;0;67388152;0;0;187748354
9195694;Tipo_P_895;0;0;0;4378659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4378659;0;0;4378659
9196020;Tipo_P_2938;0;0;0;0;0;0;550000;960000;0;0;0;0;0;0;0;960000;0;0;0;550000;0;0;1510000
9196733;Tipo_PN_34036;0;0;0;0;0;0;136000;0;0;0;0;0;0;136000;0;0;0;0;0;0;0;0;136000
9198408;Tipo_P_2274;0;0;0;382200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;382200;0;0;382200
9198506;Tipo_PN_36;0;926826;0;0;0;0;0;0;0;0;0;0;0;0;0;926826;0;0;0;0;0;0;926826
9200631;Tipo_P_952;0;0;0;2428908;0;0;0;0;0;0;2428908;0;0;0;0;0;0;0;0;0;0;0;2428908
9200908;Tipo_PN_34136;0;0;0;2163613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2163613;0;0;2163613
9201835;Tipo_P_182;0;0;0;0;0;0;48988083;0;0;0;0;0;0;0;0;0;0;0;42927263;6060820;0;0;48988083
9203078;Tipo_P_381;0;0;0;0;0;0;5233867;0;0;0;0;0;0;0;0;2646847;0;0;646755;1940265;0;0;5233867
9204333;Tipo_P_824;0;0;0;1687212;0;0;0;0;0;0;0;0;0;0;0;987795;0;0;0;699417;0;0;1687212
9204885;Tipo_P_64662;0;0;0;9345641;0;0;0;0;0;0;0;0;0;0;8345641;0;0;0;0;1000000;0;0;9345641
9206260;Tipo_P_1780;0;0;0;2311816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501816;810000;0;0;2311816
9206631;Tipo_P_1120;0;0;0;0;0;0;270970;0;0;0;0;0;0;0;0;0;0;0;0;270970;0;0;270970
9206678;Tipo_P_64698;0;0;0;0;0;0;0;1742455;0;1955460;0;0;0;0;0;0;0;0;0;-213005;0;0;1742455
9207054;Tipo_P_1034;0;0;0;0;0;0;0;0;2895079;0;0;0;0;0;0;0;0;0;2895079;0;0;0;2895079
9208549;Tipo_P_64481;0;0;0;604330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;604330;0;0;604330
9208656;Tipo_P_1974;0;0;1327844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1327844;0;0;1327844
9209018;Tipo_PN_34263;0;0;0;2655385;0;0;0;0;0;0;0;0;0;0;0;491772;0;0;0;2163613;0;0;2655385
9209517;Tipo_P_938;0;0;2668886;0;0;0;844800;0;0;0;0;0;0;0;0;0;0;0;3513686;0;0;0;3513686
9209920;Tipo_PN_76;0;0;0;2833361;0;0;0;0;0;0;0;0;0;0;0;2833361;0;0;0;0;0;0;2833361
9211723;Tipo_P_688;0;0;0;3793772,26;0;0;0;1002352;0;0;0;0;0;0;0;0;0;0;0;4796124,26;0;0;4796124,26
9211872;Tipo_P_342;0;833247;0;7134369;0;0;0;4008631;0;0;0;0;6693277;0;0;4841878;0;0;0;441092;0;0;11976247
9211899;Tipo_P_2866;0;0;0;0;0;0;1146191;0;0;0;0;0;0;0;0;0;0;0;0;1146191;0;0;1146191
9212031;Tipo_P_716;0;0;0;3336068,99;0;0;816249;873600;997040;0;0;0;0;0;0;438290,99;0;0;1263289;4321378;0;0;6022957,99
9212642;Tipo_P_111;0;0;0;291200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291200;0;0;291200
9213056;Tipo_PN_34248;0;0;0;0;0;0;180000;0;0;0;0;0;0;180000;0;0;0;0;0;0;0;0;180000
9213251;Tipo_PN_34229;0;0;0;690000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;690000;0;0;690000
9215180;Tipo_PN_34272;0;0;0;2163613;0;0;0;0;0;0;0;0;0;0;0;2163613;0;0;0;0;0;0;2163613
9216544;Tipo_P_1505;0;585600;0;5602960;0;0;0;2560200;0;0;0;0;0;0;0;0;0;0;0;8748760;0;0;8748760
9216986;Tipo_P_808;0;0;0;3501178;0;0;224400;0;0;0;0;0;0;0;0;0;0;0;224400;3501178;0;0;3725578
9218053;Tipo_P_1440;0;0;0;10794914;0;0;0;0;0;0;0;0;0;0;0;10794914;0;0;0;0;0;0;10794914
9218089;Tipo_P_1419;0;0;0;14717848;0;0;0;0;0;0;14717848;0;0;0;0;0;0;0;0;0;0;0;14717848
9219480;Tipo_P_64628;0;0;0;1452605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1452605;0;0;1452605
9219953;Tipo_P_64729;0;0;0;0;0;0;550000;0;0;0;0;0;0;0;0;0;0;0;0;550000;0;0;550000
9221279;Tipo_P_155;0;0;0;0;0;0;25499380;504874;0;0;0;0;0;0;0;0;0;0;0;26004254;0;0;26004254
9221373;Tipo_P_339;0;1742600;0;2442605;0;0;19913304;0;0;0;0;0;0;0;0;2442605;0;0;11390683;10265221;0;0;24098509
9221395;Tipo_P_1461;0;0;0;2345800;0;0;0;0;0;1961094;0;0;0;0;0;0;0;0;0;384706;0;0;2345800
9221621;Tipo_P_593;0;0;0;16488888;0;0;26359189;0;0;0;0;0;0;0;0;17831731;0;0;19428756;5587590;0;0;42848077
9221624;Tipo_P_2181;0;588151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;588151;0;0;588151
9221820;Tipo_P_925;0;0;0;0;0;0;4876960;0;0;0;0;0;0;0;0;0;0;0;0;4876960;0;0;4876960
9222655;Tipo_PN_34158;0;0;0;0;0;0;121149;0;0;0;0;0;0;0;0;0;0;0;0;121149;0;0;121149
9222707;Tipo_PN_34217;0;0;0;1421106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1421106;1421106
9222741;Tipo_P_3162;0;0;0;0;0;0;209578;0;0;0;0;0;0;0;0;0;0;0;209578;0;0;0;209578
9222943;Tipo_P_64771;0;0;0;534173,12;0;0;0;0;0;0;534173,12;0;0;0;0;0;0;0;0;0;0;0;534173,12
9224334;Tipo_P_744;0;0;0;0;0;0;5484380;1666407;0;1666407;0;0;0;0;0;0;0;0;0;5484380;0;0;7150787
9224873;Tipo_P_264;0;0;0;0;0;0;168630;0;0;0;0;0;0;0;0;0;0;0;0;168630;0;0;168630
9225093;Tipo_P_606;0;0;0;6827944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6827944;0;0;6827944
9226166;Tipo_PN_34211;0;4009964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4009964;4009964
9226366;Tipo_P_46;0;0;0;454400;0;0;120370377;0;0;0;0;0;0;0;0;89133633;0;0;10919657;20771487;0;0;120824777
9226807;Tipo_P_356;0;0;0;168000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168000;0;0;168000
9228649;Tipo_P_1499;0;0;0;600600;0;0;7953369;0;0;0;0;0;0;0;0;-1,16415E-10;0;0;7953369;600600;0;0;8553969
9228828;Tipo_PN_34121;0;0;0;0;0;0;340000;0;0;0;0;0;0;340000;0;0;0;0;0;0;0;0;340000
9228998;Tipo_P_468;0;2009095;0;0;0;0;0;0;0;0;0;0;0;0;0;1484759;0;0;0;524336;0;0;2009095
9229256;Tipo_N_74;0;0;0;0;0;0;87295310;0;0;0;0;0;0;0;0;0;0;0;56165310;31130000;0;0;87295310
9229516;Tipo_P_1658;0;0;0;0;0;0;2276886;0;0;0;0;0;0;0;0;0;0;0;2276886;0;0;0;2276886
9229687;Tipo_N_114;0;0;0;0;0;0;12115411;0;0;0;0;0;0;0;0;0;0;0;2396581;9718830;0;0;12115411
9230633;Tipo_P_3016;0;0;0;0;0;0;990000;0;0;0;0;0;0;0;0;0;0;0;990000;0;0;0;990000
9231419;Tipo_N_18;42635065;52803403;67748222;12981217;0;0;446580918;17478544;716806;0;24721350;0;0;0;1968067;103763019;0;0;304405726;205369207;716806;0;640944175
9232349;Tipo_P_137;12288527;0;0;193674772;0;0;0;3136998;0;0;0;0;0;0;0;24728527;0;0;0;184371770;0;0;209100297
